ASIN,ProductName,ProfileName,Stars,ReviewTitle,ReviewDate,Review,URL
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL",Alex,4.0,We need a scent free version,"June 9, 2021","This is a nice lightweight product that is surprisingly hydrating, I put it on just after toning and before heavier treatments/moisturizer. Also contains no alcohol!!Don't expect miracles if your acne is particularly severe. This is a gentle product to use alongside other acne treatments for best results.My only negative is it is very very highly fragranced. It's exceptionally strong and I wish they made a fragrance free version. Also when I first purchased this product from Amazon in 02/2021 the product I received had an expiry date of 10/2021, just over 8 months. It also had a sticker on top that said it expired in 2023 that when peeled off revealed the 2021 expiry date, which is bizarre and shady. I finished the bottle before that time, but still.",https://www.amazon.ca/product-reviews/B07NQ8BVXM
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL",Liz,5.0,Amazing acne and moisturizer cream,"January 23, 2021",Product works great. I’m 38 and have been getting acne due to wearing a mask during covid. This cream helps clear up within a couple days and sometimes even overnight. Love this product and will continue to buy. I have mild acne only. I wanted to wait till I tried product for at least a month before I gave review. I highly recommend. It removes acne without drying skin out. Love it.,https://www.amazon.ca/product-reviews/B07NQ8BVXM
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL",Miguel Macarasig,5.0,Effective,"March 3, 2021","Within 1 month of using it, my acne and scars is now much much much much better!!!!",https://www.amazon.ca/product-reviews/B07NQ8BVXM
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL",Barrett357,2.0,Meh,"April 15, 2021","I really wanted to like this, it’s described as everything I wanted for my acne-prone skin. Unfortunately, I saw virtually no improvement in my acne, and it didn’t add much in terms of hydration. I am just finishing up the bottle and will not repurchase.",https://www.amazon.ca/product-reviews/B07NQ8BVXM
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL",Deb,4.0,Good but could be better,"April 15, 2021","Loved the texture, lightweight and smooth. The scent as per usual for Vichy is strong, though it does disapate. Not a heavy cream so its good in the hotter months. Feel like it makes a difference in my acne.",https://www.amazon.ca/product-reviews/B07NQ8BVXM
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL",Kristina Lemieux,5.0,Magique!,"February 9, 2021","Ayant des trouble d'acné depuis un moment, je recherchais le produit miracle et de doit avouer que je suis plus que satisfaite de ce produit. J l'ai jumelé avec NORMADERM CORRECTIVE ANTI ACNE TREATMENT et le duo fait vraiment des miracles! Je recommande fortement!",https://www.amazon.ca/product-reviews/B07NQ8BVXM
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL", asma,1.0,Gaspillage d’argent,"July 16, 2021","Ne sert à rien , aucune amélioration.Gaspillage d’argent .",https://www.amazon.ca/product-reviews/B07NQ8BVXM
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL",amirreza sh,1.0,Not worth it,"January 19, 2021",Been using this product for over a month now and I think its a complete waste of money. Haven’t seen any changes,https://www.amazon.ca/product-reviews/B07NQ8BVXM
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL",Nancy,5.0,Satisfaite,"June 20, 2021",Je vous conseil la gamme de vichy pour acné jai vue d'énorme résultats,https://www.amazon.ca/product-reviews/B07NQ8BVXM
B07NQ8BVXM,"Vichy Facial Moisturizer for Acne, Normaderm Double-Action Anti-Acne Face Moisturizer for Acne-Prone Skin with Salicylic Acid, Oil-Free, Non-Comedogenic, Hypoallergenic, Paraben-Free, 50mL",Alexandra,5.0,Parfait,"February 11, 2021",Parfait,https://www.amazon.ca/product-reviews/B07NQ8BVXM
